,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
0,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2005,6,2005,12,none,area,15.0
1,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2006,6,2006,12,none,area,15.0
2,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2007,6,2007,12,none,area,15.0
3,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Taro,Annual,2008,6,2008,12,none,area,12.0
4,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,1998,6,1998,12,none,area,1070.0
5,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2005,6,2005,12,none,area,2236.0
6,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2006,6,2006,12,none,area,2217.0
7,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2007,6,2007,12,none,area,2219.0
8,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Yams,Annual,2008,6,2008,12,none,area,2219.0
9,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,1999,6,1999,12,none,area,87.0
10,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2000,6,2000,12,none,area,87.0
11,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2001,6,2001,12,none,area,104.0
12,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2002,6,2002,12,none,area,105.0
13,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2003,6,2003,12,none,area,107.0
14,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2004,6,2004,12,none,area,108.0
15,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2005,6,2005,12,none,area,151.0
16,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2006,6,2006,12,none,area,151.0
17,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2007,6,2007,12,none,area,150.0
18,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Soybean,North 1st Season,2008,6,2008,12,none,area,150.0
19,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,1998,6,1998,12,none,area,1971.0
20,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,1999,6,1999,12,none,area,2130.0
21,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2000,6,2000,12,none,area,2496.0
22,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2001,6,2001,12,none,area,2248.0
23,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2002,6,2002,12,none,area,2472.0
24,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2003,6,2003,12,none,area,2720.0
25,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2004,6,2004,12,none,area,2991.0
26,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2005,6,2005,12,none,area,3703.0
27,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2006,6,2006,12,none,area,3886.0
28,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2007,6,2007,12,none,area,3916.0
29,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Maize,North 1st Season,2008,6,2008,12,none,area,3916.0
30,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2000,6,2000,12,none,area,1417.0
31,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2001,6,2001,12,none,area,1275.0
32,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2002,6,2002,12,none,area,1233.0
33,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2003,6,2003,12,none,area,1532.0
34,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2004,6,2004,12,none,area,1449.0
35,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2005,6,2005,12,none,area,1410.0
36,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2006,6,2006,12,none,area,1398.0
37,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2007,6,2007,12,none,area,1398.0
38,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Squash and Melon Seeds,North 1st Season,2008,6,2008,12,none,area,1425.0
39,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Banana,Annual,2005,6,2005,12,none,area,79.0
40,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Banana,Annual,2006,6,2006,12,none,area,79.0
41,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,Annual,1998,6,1998,12,none,area,1550.0
42,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,1999,6,1999,12,none,area,847.0
43,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,2000,6,2000,12,none,area,859.0
44,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,2001,6,2001,12,none,area,1181.0
45,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,2002,6,2002,12,none,area,1264.0
46,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,2003,6,2003,12,none,area,1352.0
47,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 1st Season,2004,6,2004,12,none,area,1447.0
48,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,1999,6,1999,12,none,area,1180.0
49,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,2000,6,2000,12,none,area,1180.0
50,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,2001,6,2001,12,none,area,1475.0
51,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,2002,6,2002,12,none,area,1578.0
52,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,2003,6,2003,12,none,area,1689.0
53,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Sweet Potatoes,North 2nd Season,2004,6,2004,12,none,area,1807.0
54,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Cassava,Annual,1998,6,1998,12,none,area,3469.0
55,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Beans (mixed),Annual,1998,6,1998,12,none,area,23.0
56,CM2008A20101,Cameroon,CM,Adamawa,Djerem,Djerem,Groundnuts (In Shell),Annual,1998,6,1998,12,none,area,1520.0
57,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Taro,Annual,2006,6,2006,12,none,area,54.0
58,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Taro,Annual,2007,6,2007,12,none,area,54.0
59,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Taro,Annual,2008,6,2008,12,none,area,54.0
60,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Yams,Annual,1998,6,1998,12,none,area,181.0
61,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Yams,Annual,2005,6,2005,12,none,area,203.0
62,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Yams,Annual,2006,6,2006,12,none,area,244.0
63,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Yams,Annual,2007,6,2007,12,none,area,244.0
64,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Yams,Annual,2008,6,2008,12,none,area,244.0
65,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,1998,6,1998,12,none,area,5499.0
66,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,1999,6,1999,12,none,area,5830.0
67,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2000,6,2000,12,none,area,5737.0
68,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2001,6,2001,12,none,area,5614.0
69,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2002,6,2002,12,none,area,6176.0
70,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2003,6,2003,12,none,area,6793.0
71,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2004,6,2004,12,none,area,7473.0
72,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2005,6,2005,12,none,area,8658.0
73,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2006,6,2006,12,none,area,8784.0
74,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2007,6,2007,12,none,area,8889.0
75,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Maize,North 1st Season,2008,6,2008,12,none,area,9001.0
76,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Squash and Melon Seeds,North 1st Season,2005,6,2005,12,none,area,80.0
77,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Squash and Melon Seeds,North 1st Season,2006,6,2006,12,none,area,80.0
78,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Squash and Melon Seeds,North 1st Season,2007,6,2007,12,none,area,85.0
79,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Squash and Melon Seeds,North 1st Season,2008,6,2008,12,none,area,85.0
80,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Banana,Annual,2006,6,2006,12,none,area,30.0
81,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,1998,6,1998,12,none,area,167.0
82,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,1999,6,1999,12,none,area,141.0
83,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2000,6,2000,12,none,area,142.0
84,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2001,6,2001,12,none,area,177.0
85,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2002,6,2002,12,none,area,189.0
86,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2003,6,2003,12,none,area,203.0
87,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2004,6,2004,12,none,area,217.0
88,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2005,6,2005,12,none,area,292.0
89,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2006,6,2006,12,none,area,234.0
90,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2007,6,2007,12,none,area,243.0
91,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Sweet Potatoes,North 1st Season,2008,6,2008,12,none,area,254.0
92,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Cassava,Annual,1998,6,1998,12,none,area,783.0
93,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,1999,6,1999,12,none,area,30.0
94,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2000,6,2000,12,none,area,40.0
95,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2001,6,2001,12,none,area,47.0
96,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2005,6,2005,12,none,area,59.0
97,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2006,6,2006,12,none,area,61.0
98,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2007,6,2007,12,none,area,61.0
99,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Beans (mixed),North 1st Season,2008,6,2008,12,none,area,61.0
100,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Groundnuts (In Shell),Annual,1998,6,1998,12,none,area,5238.0
101,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,1998,6,1998,12,none,area,6854.0
102,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,1999,6,1999,12,none,area,7754.0
103,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2000,6,2000,12,none,area,7754.0
104,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2001,6,2001,12,none,area,9712.0
105,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2002,6,2002,12,none,area,10868.0
106,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2003,6,2003,12,none,area,12161.0
107,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2004,6,2004,12,none,area,13608.0
108,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2005,6,2005,12,none,area,14345.0
109,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2006,6,2006,12,none,area,14308.0
110,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2007,6,2007,12,none,area,14891.0
111,CM2008A20102,Cameroon,CM,Adamawa,Faro et Deo,Faro et Deo,Millet,North 1st Season,2008,6,2008,12,none,area,15112.0
112,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Taro,Annual,1998,6,1998,12,none,area,359.0
113,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Taro,Annual,2006,6,2006,12,none,area,488.0
114,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Taro,Annual,2007,6,2007,12,none,area,488.0
115,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Taro,Annual,2008,6,2008,12,none,area,501.0
116,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Yams,Annual,2005,6,2005,12,none,area,245.0
117,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Yams,Annual,2006,6,2006,12,none,area,246.0
118,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Yams,Annual,2007,6,2007,12,none,area,246.0
119,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Yams,Annual,2008,6,2008,12,none,area,246.0
120,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,1998,6,1998,12,none,area,4306.0
121,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,1999,6,1999,12,none,area,4903.0
122,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2000,6,2000,12,none,area,5835.0
123,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2001,6,2001,12,none,area,5573.0
124,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2002,6,2002,12,none,area,6131.0
125,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2003,6,2003,12,none,area,6744.0
126,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2004,6,2004,12,none,area,7418.0
127,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2005,6,2005,12,none,area,8467.0
128,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2006,6,2006,12,none,area,8584.0
129,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2007,6,2007,12,none,area,8592.0
130,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Maize,North 1st Season,2008,6,2008,12,none,area,8592.0
131,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2000,6,2000,12,none,area,6082.0
132,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2001,6,2001,12,none,area,6657.0
133,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2002,6,2002,12,none,area,6439.0
134,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2003,6,2003,12,none,area,7001.0
135,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2004,6,2004,12,none,area,6563.0
136,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2005,6,2005,12,none,area,5814.0
137,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2006,6,2006,12,none,area,5814.0
138,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2007,6,2007,12,none,area,6002.0
139,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Squash and Melon Seeds,North 1st Season,2008,6,2008,12,none,area,6200.0
140,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Banana,Annual,2006,6,2006,12,none,area,61.0
141,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,Annual,1998,6,1998,12,none,area,272.0
142,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,1999,6,1999,12,none,area,112.0
143,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,2000,6,2000,12,none,area,112.0
144,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,2001,6,2001,12,none,area,112.0
145,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,2002,6,2002,12,none,area,120.0
146,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,2003,6,2003,12,none,area,128.0
147,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 1st Season,2004,6,2004,12,none,area,137.0
148,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,1999,6,1999,12,none,area,177.0
149,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,2000,6,2000,12,none,area,177.0
150,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,2001,6,2001,12,none,area,221.0
151,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,2002,6,2002,12,none,area,236.0
152,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,2003,6,2003,12,none,area,253.0
153,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sweet Potatoes,North 2nd Season,2004,6,2004,12,none,area,271.0
154,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Cassava,Annual,1998,6,1998,12,none,area,971.0
155,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,1998,6,1998,12,none,area,780.0
156,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,1999,6,1999,12,none,area,779.0
157,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2000,6,2000,12,none,area,779.0
158,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2001,6,2001,12,none,area,774.0
159,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2002,6,2002,12,none,area,797.0
160,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2003,6,2003,12,none,area,821.0
161,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2004,6,2004,12,none,area,846.0
162,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2005,6,2005,12,none,area,898.0
163,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2006,6,2006,12,none,area,812.0
164,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2007,6,2007,12,none,area,812.0
165,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Beans (mixed),North 1st Season,2008,6,2008,12,none,area,812.0
166,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Groundnuts (In Shell),Annual,1998,6,1998,12,none,area,993.0
167,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sesame Seed,North 1st Season,2007,6,2007,12,none,area,1062.0
168,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Sesame Seed,North 1st Season,2008,6,2008,12,none,area,1204.0
169,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Rice,North 1st Season,2006,6,2006,12,none,area,1057.0
170,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Rice,North 1st Season,2007,6,2007,12,none,area,1058.0
171,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Rice,North 1st Season,2008,6,2008,12,none,area,1064.0
172,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Okras,Annual,1998,6,1998,12,none,area,2468.0
173,CM2008A20103,Cameroon,CM,Adamawa,Mayo Banyo,Mayo Banyo,Okras,Annual,1999,6,1999,12,none,area,3016.0
174,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,1998,6,1998,12,none,area,122.0
175,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,1999,6,1999,12,none,area,108.0
176,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2000,6,2000,12,none,area,108.0
177,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2001,6,2001,12,none,area,108.0
178,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2002,6,2002,12,none,area,111.0
179,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2003,6,2003,12,none,area,115.0
180,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2004,6,2004,12,none,area,118.0
181,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2005,6,2005,12,none,area,122.0
182,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2006,6,2006,12,none,area,122.0
183,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2007,6,2007,12,none,area,122.0
184,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Taro,Annual,2008,6,2008,12,none,area,126.0
185,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Yams,Annual,1998,6,1998,12,none,area,1933.0
186,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Yams,Annual,2005,6,2005,12,none,area,2741.0
187,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Yams,Annual,2006,6,2006,12,none,area,2831.0
188,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Yams,Annual,2007,6,2007,12,none,area,2981.0
189,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Yams,Annual,2008,6,2008,12,none,area,2981.0
190,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,1998,6,1998,12,none,area,8000.0
191,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,1999,6,1999,12,none,area,8832.0
192,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,2000,6,2000,12,none,area,9269.0
193,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,2001,6,2001,12,none,area,8530.0
194,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,2002,6,2002,12,none,area,9383.0
195,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,2003,6,2003,12,none,area,10321.0
196,CM2008A20104,Cameroon,CM,Adamawa,Mbere,Mbere,Maize,North 1st Season,2004,6,2004,12,none,area,11353.0
